Name,SMILES,Properties,Molecular Weight,LogP,Hydrogen Donors,Hydrogen Acceptors,Therapeutic Class,Chemical Structure Type,Origin,Half-Life,Metabolism,Protein Binding
"Oxycodone","COC1=CC=C2C3C4CCC(C(C4C(C(=O)O2)C5=C1C=CC=C5)O)N(C)C3","Pain Medication","315.36","1.19","1","3","Opioid Analgesic","Morphinan","Synthetic","3-4.5 hours","Liver","45%"
"Dicyclomine","CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2","Antispasmodic","309.49","3.65","0","3","Anticholinergic","Ester","Synthetic","1.8 hours","Liver","<1%"
"Midazolam","CC1=NC2=C(C=C(C=C2)Cl)N(C3=CC=CC=C13)C","Sedative","325.77","3.12","0","3","Benzodiazepine","Imidazobenzodiazepine","Synthetic","1-6 hours","Liver","97%"
"Granisetron","CN1C2CCCC(C2)C(C1=O)NC3=CC4=C(C=C3)N=CN4","Antiemetic","312.41","2.15","1","3","Antiemetic","Indazole","Synthetic","6-9 hours","Liver","65%"
"Paroxetine","C1CN(CC2=CC3=C(C=C2)OCO3)C4=CC=C(C=C4)F","Antidepressant","329.37","3.95","1","3","SSRI Antidepressant","Piperidine","Synthetic","21 hours","Liver","95%"
"Flurazepam","CCN(CC)C1=CC2=C(C=C1)N(C3=C(C2=O)C=C(C=C3)Cl)C4CC4","Sedative","387.88","3.34","0","4","Benzodiazepine","1,4-Benzodiazepine","Synthetic","40-250 hours","Liver","97%"
"Rizatriptan","CN(C)CC1=CC2=C(C=C1)NC=C2CN3C=NC=N3","Migraine Medication","269.35","1.43","1","3","Antimigraine","Triptan","Synthetic","2-3 hours","Liver","14%"
"Ketorolac","C1CN2C(=O)C(C(C2C3=C1C=CC=C3)C(=O)O)C4=CC=CC=C4","Pain Medication","255.31","2.11","1","2","NSAID","Pyrrolizine","Synthetic","5-6 hours","Liver","99%"
"Lacosamide","CC(=O)NC(COC)C(=O)NCC1=CC=CC=C1","Anticonvulsant","250.29","0.87","2","3","Antiepileptic","Amino Acid Derivative","Synthetic","13 hours","Liver","<15%"
"Eszopiclone","CN1C(=O)OC2=C(C=C(C=C2)Cl)N=C(C1)C3=CN=CC=C3","Sedative","388.81","1.76","0","4","Hypnotic","Cyclopyrrolone","Synthetic","6 hours","Liver","52-59%"
"Topotecan","CC1=C(C(=O)N2C(=C(C=C2C(CO)CO)O)C3=C1C=CC=C3)O","Anticancer","421.45","1.92","3","6","Topoisomerase Inhibitor","Camptothecin","Synthetic","2-3 hours","Liver","35%"
"Nebivolol","C1CC2=C(C=CC(=C2)OCC(CNC(C3=CC4=C(C=C3)OCC(CN4)O)O)O)NC1","Beta Blocker","405.44","2.98","3","5","Cardiovascular","Beta-Blocker","Synthetic","10-24 hours","Liver","98%"
"Captopril","CC(CS)C(=O)N1CCCC1C(=O)O","Hypertension Medication","217.29","0.34","2","3","ACE Inhibitor","Proline Derivative","Synthetic","2 hours","Liver","25-30%"
"Metoclopramide","CCN(CC)C1=CC(=C(C=C1OC)Cl)C(=O)N","Antiemetic","299.80","2.62","2","4","Antiemetic","Benzamide","Synthetic","5-6 hours","Liver","30%"
"Tolterodine","CC(C)C1=CC(=C(C=C1)O)CCN(C)C2CCCCC2","Overactive Bladder","325.49","5.02","1","2","Antimuscarinic","Phenol Ether","Synthetic","2-3 hours","Liver","96%"
"Dapoxetine","CN(C)CC(C1=CC=CC2=C1C=CC=C2)OC3=CC=CC=C3","Premature Ejaculation","305.41","4.12","0","2","SSRI","Naphthalene","Synthetic","1.5-2 hours","Liver","99%"
"Fenofibrate","CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl","Cholesterol Medication","360.83","5.28","0","3","Lipid Lowering","Fibrate","Synthetic","20 hours","Liver","99%"
"Ticagrelor","CC1=NC(=C2C(=N1)N(C(=N2)NC3CC3)C4CC(C(C4)O)O)SC","Antiplatelet Agent","522.57","2.45","3","6","Cardiovascular","Purinergic Receptor Antagonist","Synthetic","7-12 hours","Liver","99%"
"Brivaracetam","CCC(C(=O)N)NC1CCCC1=O","Anticonvulsant","212.29","1.04","1","2","Antiepileptic","Pyrrolidone","Synthetic","9 hours","Liver","<20%"
"Desvenlafaxine","C1CC(CCC1CN(C)C)(C2=CC=C(C=C2)O)O","Antidepressant","263.38","2.14","2","3","SNRI Antidepressant","Cyclohexanol","Synthetic","11 hours","Liver","30%"
"Loratadine","CC1=CN=C(C=C1)C2CCN(CC2)C(=C3C=CC=CC3)Cl","Antihistamine","382.89","4.85","0","2","Second-Generation Antihistamine","Piperidine","Synthetic","8 hours","Liver","97%"
"Ibutilide","CCN(CCCCCCCS(=O)(=O)NCC)C1=CC=C(C=C1)O","Antiarrhythmic","442.62","3.76","1","3","Class III Antiarrhythmic","Sulfonamide","Synthetic","6 hours","Liver","40%"
"Fluvastatin","CC(C)C1=C(C(=CC(=C1)F)N2C=CC=C2)C=CC(C(CO)O)O","Cholesterol Medication","411.47","3.24","2","4","Lipid Lowering","Statin","Synthetic","1-3 hours","Liver","98%"
"Dulaglutide","CC(=O)NCCCCC(NC(=O)C1CCCN1C(=O)C)O","Diabetes Medication","5969.00","N/A","Multiple","Multiple","GLP-1 Receptor Agonist","Peptide","Synthetic","4-5 days","Systemic","N/A"
"Vortioxetine","CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C","Antidepressant","298.44","3.67","1","2","Multimodal Antidepressant","Piperazine","Synthetic","66 hours","Liver","98%"
"Ipratropium","CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O)C","Bronchodilator","430.40","0.76","1","4","Anticholinergic","Quaternary Ammonium","Synthetic","2 hours","Liver","<20%"
"Formoterol","CC(CC1=CC=C(C=C1)OC)NC(C)C(O)C2=CC(=C(C=C2)O)NC=O","Bronchodilator","344.41","2.18","3","4","Beta-2 Agonist","Phenylethanolamine","Synthetic","10 hours","Liver","61-64%"
"Gliclazide","CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2","Diabetes Medication","323.41","2.55","2","3","Antidiabetic","Sulfonylurea","Synthetic","10-12 hours","Liver","94%"
"Ciclesonide","CC1CC2C3CC(C4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)OC5CCCCC5)O)O)O)O","Anti-inflammatory","540.69","4.12","2","6","Corticosteroid","Steroid","Synthetic","3.5 hours","Liver","99%"
"Zonisamide","C1=CC2=C(C=C1)S(=O)(=O)N(C(=O)N2)CC3=CC=CC=C3","Anticonvulsant","212.23","1.38","1","3","Antiepileptic","Benzisoxazole","Synthetic","63 hours","Liver","40-60%"
"Erlotinib","CCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OC","Anticancer","393.44","3.31","1","4","Tyrosine Kinase Inhibitor","Quinazoline","Synthetic","36 hours","Liver","95%"
"Pioglitazone","CCCCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3","Diabetes Medication","356.44","3.17","1","4","Antidiabetic","Thiazolidinedione","Synthetic","3-7 hours","Liver","99%"
"Baclofen","C1=CC(=C(C=C1)Cl)CC(C(=O)O)N","Muscle Relaxant","213.66","1.31","2","3","Muscle Relaxant","Gamma-Aminobutyric Acid Derivative","Synthetic","3-4 hours","Kidney","30%"
"Colchicine","CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)O","Gout Medication","399.44","1.67","2","5","Anti-inflammatory","Alkaloid","Natural","26 hours","Liver","39%"
"Mirabegron","C1=CC(=CC=C1)CC(C(=O)NC2=CC=C(C=C2)CCN)O","Overactive Bladder","396.51","2.84","2","4","Beta-3 Agonist","Phenylethanolamine","Synthetic","50 hours","Liver","71%"
"Temozolomide","CN1C(=O)N2C=NC(=C2C(=O)N1C)C(=O)N","Anticancer","194.15","0.45","2","5","Alkylating Agent","Imidazotetrazine","Synthetic","1.8 hours","Liver","15%"
"Nifedipine","CC1=C(C(=C(C(=N1)C)C(=O)OC)C(=O)OC)C2=CC=CC(=C2)[N+](=O)[O-]","Blood Pressure Medication","346.33","2.20","1","6","Calcium Channel Blocker","Dihydropyridine","Synthetic","2-5 hours","Liver","95%"
"Paliperidone","CC1=C(C(=O)N2C(=C(C(=O)N2C)C3CCN(CC3)C)O1)C4=CC=C(C=C4)F","Antipsychotic","426.48","2.73","2","4","Atypical Antipsychotic","Benzisoxazole","Synthetic","23 hours","Liver","74%"
"Travoprost","CC(C)OC(=O)CCC/C=C/CC1C(C(CC1=O)O)CC2=CC(=CC(=C2)C(F)(F)F)O","Glaucoma Medication","500.55","4.38","2","5","Prostaglandin Analog","Prostanoid","Synthetic","1.5 hours","Liver",">95%"
"Saxagliptin","CC1(C2CC2N(C1=O)C3CC(C3)(C#N)N)C","Diabetes Medication","315.41","1.63","1","4","Antidiabetic","Dipeptidyl Peptidase-4 Inhibitor","Synthetic","2.5-3 hours","Liver","<10%"
"Repaglinide","CCOC1=C(C=CC(=C1)CC(=O)NC(C2=CC=CC=C2)C(C)C(=O)O)N3CCCCC3","Diabetes Medication","452.59","4.01","2","3","Antidiabetic","Meglitinide","Synthetic","1 hour","Liver","98%"
"Latanoprost","CC(C)OC(=O)CCC/C=C/CC1C(C(CC1=O)O)CC2=CC=CC=C2","Glaucoma Medication","432.58","4.27","2","4","Prostaglandin Analog","Prostanoid","Synthetic","17 minutes","Liver",">90%"
"Dorzolamide","CCNCC1=CC2=C(C=C1)S(=O)(=O)N(C(=O)N2)C","Glaucoma Medication","324.44","1.52","2","4","Carbonic Anhydrase Inhibitor","Sulfonamide","Synthetic","4 months","Liver","33%"
"Ranolazine","CC1=CC(=C(C=C1)OC)CN(CC2=CC=CC=C2)C(=O)CN3CCN(CC3)C","Angina Medication","427.54","2.91","1","4","Anti-Ischemic","Piperazine","Synthetic","7 hours","Liver","62%"
"Almotriptan","CN(C)CC1=CC2=C(C=C1)NC=C2CCNS(=O)(=O)C","Migraine Medication","335.45","1.82","2","4","Antimigraine","Triptan","Synthetic","3-4 hours","Liver","35%"
"Brimonidine","C1CN=C(N1)C2=C(C(=C(C=C2)Br)N)C3=CC=CC=C3","Glaucoma Medication","442.13","2.94","2","3","Alpha-2 Agonist","Quinoxaline","Synthetic","3 hours","Liver","29%"
"Clobazam","CN1C2=CC=CC=C2N(C(=O)C3=C1C=C(C=C3)Cl)C","Anti-Anxiety","300.74","2.63","1","3","Benzodiazepine","1,5-Benzodiazepine","Synthetic","36-42 hours","Liver","85%"
"Dimenhydrinate","CN1C2=CC=CC=C2C(C3=CC=CC=C3)N(C1)CCOC(=O)C4=CC=CC=C4","Antiemetic","469.97","3.12","0","4","Antihistamine","Diphenylmethane","Synthetic","5-6 hours","Liver","78%"
"Eplerenone","CC1CC2C3CCC4=CC(=O)CCC4(C3C(C(C2(C1C(=O)OC)O)O)O)O","Diuretic","414.49","2.45","2","5","Aldosterone Antagonist","Steroidal","Synthetic","4-6 hours","Liver","50%"
"Felodipine","CCOC(=O)C1=C(C(=C(C(=N1)C)C(=O)OC)C2=CC(=CC=C2)Cl)C","Blood Pressure Medication","384.25","3.86","1","4","Calcium Channel Blocker","Dihydropyridine","Synthetic","11-16 hours","Liver","99%"
"Gemfibrozil","CC(C)(C)OC1=CC=C(C=C1)CCCC(=O)O","Cholesterol Medication","250.33","3.41","1","2","Lipid Lowering","Fibrate","Synthetic","1.5 hours","Liver","95%"
"Homatropine","CN1C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O","Mydriatic","275.34","1.67","1","3","Anticholinergic","Tropane","Synthetic","2-3 hours","Liver","<10%"
"Irbesartan","CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4","Blood Pressure Medication","428.53","4.52","1","3","Angiotensin II Receptor Antagonist","Tetrazole","Synthetic","11-15 hours","Liver","90%"
"Janagliflozin","CC1=CC(=C(C=C1)OCC2CCCCC2)C3=CC=C(C=C3)CO","Diabetes Medication","404.50","3.78","2","3","SGLT2 Inhibitor","Glycoside","Synthetic","12 hours","Liver","92%"
"Ketotifen","C1CN(CC2=C(C(=O)C3=CC=CC=C3S2)C=C4C=CC=CC4)C","Antihistamine","425.50","3.29","0","3","Antihistamine","Benzocycloheptathiophene","Synthetic","21 hours","Liver","75%"
"Labetalol","CC(C)NCC(O)C1=CC=C(C=C1)OCC(=O)NC2=CC=CC=C2","Beta Blocker","328.41","2.55","3","4","Cardiovascular","Salicylamide","Synthetic","6 hours","Liver","50%"
"Mecamylamine","CC1C2CCC(C1C)N(C2)C","Antihypertensive","167.29","2.13","0","1","Nicotinic Antagonist","Bicyclic Amine","Synthetic","10 hours","Kidney","40%"
"Nateglinide","CC(C1CCC(CC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O)C","Diabetes Medication","317.42","2.97","2","3","Antidiabetic","Phenylalanine Derivative","Synthetic","1.5 hours","Liver","98%"
"Olanzapine","CC1=CC2=C(S1)NC3=C(C=C(C=C3)N4CCN(CC4)C)C(=N2)C","Antipsychotic","312.43","2.88","1","4","Atypical Antipsychotic","Thienobenzodiazepine","Synthetic","21-54 hours","Liver","93%"
"Pimozide","C1CN(CCCC2=CC=C(C=C2)F)CCN1C3=C(C(=O)N4C=CC=CC4=C3)C","Antipsychotic","461.55","5.41","1","3","Typical Antipsychotic","Diphenylbutylpiperidine","Synthetic","55 hours","Liver","99%"
"Quinapril","CCOC(=O)C1CCCN1C(=O)C(CC2=CC=CC=C2)NC(C)C(=O)O","Hypertension Medication","438.52","1.93","2","5","ACE Inhibitor","Isoquinoline","Synthetic","2 hours","Liver","97%"
"Rasagiline","C#CCN1CCC2=CC=CC=C2C1","Parkinson's Medication","171.24","2.29","1","1","MAO-B Inhibitor","Indan","Synthetic","3 hours","Liver","88-94%"
"Sotalol","CC(C)NCC(O)C1=CC=C(C=C1)NS(=O)(=O)C","Antiarrhythmic","272.36","0.24","2","4","Beta Blocker","Sulfonamide","Synthetic","12 hours","Kidney","<5%"
"Telmisartan","CCCCC1=NC2=C(C=C(C=C2)C3=NC4=CC=CC=C4N3C)C(=O)N1C","Blood Pressure Medication","514.62","6.12","1","3","Angiotensin II Receptor Antagonist","Benzimidazole","Synthetic","24 hours","Liver","99%"
"Ursodiol","CC(C)CC1CCC2C3C(CC(C2(C1)O)O)C4CC(CC(C4C3)O)O","Gallstone Medication","392.57","3.00","3","4","Bile Acid","Steroidal","Natural","3-6 days","Liver","70%"
"Vigabatrin","C=CC(C(=O)O)NC","Anticonvulsant","129.16","0.31","2","2","Antiepileptic","Vinyl GABA","Synthetic","7.5 hours","Minimal","<5%"
"Zafirlukast","CC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC=C2)C(=O)NC3=CC(=C(C=C3)OC)C4CC4","Anti-Asthmatic","575.68","4.67","2","4","Leukotriene Receptor Antagonist","Indole","Synthetic","10 hours","Liver","99%"
"Betaxolol","CC(C)NCC(O)COC1=CC=C(C=C1)CCOCC2CC2","Beta Blocker","307.43","2.81","2","3","Cardiovascular","Aryloxypropanolamine","Synthetic","14-22 hours","Liver","50%"
"Cilostazol","C1CCC(CC1)OC2=NN3C(=CC=C(C3=N2)C(=O)NCCCC)","Vasodilator","369.46","2.73","1","4","Phosphodiesterase Inhibitor","Tetrahydroquinoline","Synthetic","11-13 hours","Liver","95%"
"Doxazosin","COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC","Blood Pressure Medication","451.48","2.09","2","5","Alpha-1 Blocker","Quinazoline","Synthetic","22 hours","Liver","98%"
"Etoricoxib","CC1=CN=C(C(=C1)C2=CC(=CC=C2)S(=O)(=O)C)C3=CC=C(C=C3)Cl","Anti-inflammatory","358.84","3.54","0","3","COX-2 Inhibitor","Pyridine","Synthetic","22 hours","Liver","92%"
"Famotidine","C1=C(N=C(S1)NC(=N)N)CSCCC(=N)NS(=O)(=O)N","Acid Reducer","337.45","0.64","4","6","H2 Receptor Antagonist","Thiazole","Synthetic","2.5-3.5 hours","Liver","15-20%"
"Guanfacine","C1=CC(=C(C(=C1)Cl)CC(=O)NCCN=C(N)N)Cl","ADHD Medication","246.09","1.45","3","4","Alpha-2 Agonist","Phenylacetamide","Synthetic","17 hours","Liver","70%"
"Hydralazine","C1=CC=C2C(=C1)NN=C(C2)N","Antihypertensive","160.18","1.02","3","3","Vasodilator","Phthalazine","Synthetic","3-7 hours","Liver","87%"
"Isradipine","CC1=C(C(=C(C(=N1)C)C(=O)OC)C2=CC=CC3=C2C=CON3)C(=O)OC","Blood Pressure Medication","371.39","3.14","1","5","Calcium Channel Blocker","Dihydropyridine","Synthetic","8 hours","Liver","95%"
"Lercanidipine","CC1=C(C(=C(C(=N1)C)C(=O)OC)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC(C)(C)CN(C)CC3=CC=CC=C3","Blood Pressure Medication","611.72","6.23","1","6","Calcium Channel Blocker","Dihydropyridine","Synthetic","8-10 hours","Liver",">99%"
"Milnacipran","CCN(CC)C(=O)C(C1CC1)C2=CC=CC=C2","Antidepressant","246.35","2.34","1","2","SNRI Antidepressant","Cyclopropane","Synthetic","8 hours","Liver","13%"
"Nicardipine","CC1=C(C(=C(C(=N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC","Blood Pressure Medication","479.53","3.92","1","6","Calcium Channel Blocker","Dihydropyridine","Synthetic","8-9 hours","Liver",">99%"
"Oxymetazoline","CC1=C(C(=C(C=C1)C(C)(C)C)CC2=NCCN2)O","Nasal Decongestant","260.38","3.41","2","3","Alpha Agonist","Imidazole","Synthetic","5-6 hours","Liver","<10%"
"Perindopril","CCC(C(=O)OCC)N(C(=O)C1CCCN1)C(=O)C2CCCCC2","Hypertension Medication","368.47","1.81","1","4","ACE Inhibitor","Indoline","Synthetic","3-10 hours","Liver","20%"
"Riluzole","C1=CC2=C(C(=C1)OC(F)(F)F)SC3=C2N=CC=C3","ALS Medication","234.20","2.76","1","3","Neuroprotective","Benzothiazole","Synthetic","12 hours","Liver","96%"
"Silodosin","CC(COC1=CC2=C(C=C1)NC(=C2)CCNCC3=CC=CC(=C3)C#N)O","Prostate Medication","495.53","2.87","2","4","Alpha-1 Blocker","Indoline","Synthetic","13 hours","Liver","97%"
"Tizanidine","C1CN=C(N1)NC2=C3C(=CC(=C2)Cl)SC=C3","Muscle Relaxant","253.71","1.94","2","3","Alpha-2 Agonist","Imidazoline","Synthetic","2.5 hours","Liver","30%"
"Verteporfin","CC1=C(C2=NC3=C(C(=C(C(=C3C(=C2C(=C1C(=O)OC)C)C)C4=CC(=C(C(=C4C)C(=O)O)O)C)O)O)O)C","Photodynamic Therapy","718.79","3.65","4","8","Photosensitizer","Porphyrin","Synthetic","5-6 hours","Liver","90%"
"Zolmitriptan","CN(C)CC1=CC2=C(C=C1)NC=C2CCNC(=O)CO","Migraine Medication","287.36","1.56","2","3","Antimigraine","Triptan","Synthetic","3 hours","Liver","25%"
"Acebutolol","CC(C)NCC(O)COC1=CC=C(C=C1)C(=O)NC(C)C","Beta Blocker","336.43","1.71","2","4","Cardiovascular","Aryloxypropanolamine","Synthetic","3-4 hours","Liver","26%"
"Bicalutamide","CC(C)(C(=O)NC1=CC=C(C=C1)C#N)C2=CC(=C(C=C2)S(=O)(=O)C(F)(F)F)O","Prostate Cancer","430.37","2.92","2","4","Antiandrogen","Fluorophenyl","Synthetic","6 days","Liver","96%"
"Cetuximab","Complex Protein Structure","Cancer Immunotherapy","145800","N/A","Multiple","Multiple","Monoclonal Antibody","Protein","Synthetic","3-7 days","Systemic","N/A"
"Dexamethasone","CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)O)O)F)O","Anti-inflammatory","392.46","1.83","3","6","Corticosteroid","Steroid","Synthetic","36-54 hours","Liver","77%"
"Efavirenz","C1CC1C#CC2(C3=C(C(=CC(=C3)Cl)NC(=O)O2)C(F)(F)F)O","Antiviral","315.68","4.60","1","3","NNRTI","Benzoxazinone","Synthetic","40-55 hours","Liver","99%"
"Fesoterodine","CC(C)C(=O)OCC(C1=CC(=CC=C1)C(C)(C)CO)NC(C)C","Overactive Bladder","411.58","5.12","1","3","Antimuscarinic","Phenol Ester","Synthetic","7 hours","Liver","70%"
"Galantamine","CN1CCC23C4=C(C=CC(=C4)OC)C(C(C2)O)CC1C=C3","Alzheimer's Medication","287.36","1.81","1","3","Cholinesterase Inhibitor","Benzazepine","Natural/Synthetic","7 hours","Liver","18%"
"Hydrocortisone","CC12CCC3C(C1CCC2O)CCC4(C3(C(CC(C4)O)O)C(=O)CO)O","Anti-inflammatory","362.46","1.61","4","6","Corticosteroid","Steroid","Natural/Synthetic","8-12 hours","Liver","90%"
"Iloperidone","CC1=CC(=C(C=C1)OCCCN2CCN(CC2)C3=C4C(=CC=C3)OC(=O)C=C4)C","Antipsychotic","426.48","4.11","1","4","Atypical Antipsychotic","Piperidinyl-Benzisoxazole","Synthetic","18-33 hours","Liver","95%"
"Ketoprofen","CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O","Anti-inflammatory","254.28","3.12","1","2","NSAID","Propionic Acid","Synthetic","2-4 hours","Liver","99%"
"Lurasidone","C1CCC2C(C1)CN(C2=O)C3=NC4=C(C(=C3)CC5CCN(CC5)C6CC6)C(=O)S4","Antipsychotic","492.68","4.85","1","4","Atypical Antipsychotic","Benzisothiazole","Synthetic","18 hours","Liver.ConcurrentHashMap","97%"
"Minocycline","CC1=C(C2=C(C=C(C(=C2C(=O)C(C(C1=O)O)O)O)N(C)C)O)O","Antibiotic","457.48","0.12","5","8","Tetracycline Antibiotic","Tetracycline","Synthetic","11-22 hours","Liver","76%"
"Nortriptyline","CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31","Antidepressant","263.38","4.51","1","1","TCA Antidepressant","Dibenzocycloheptene","Synthetic","18-44 hours","Liver","92%"
"Oxybutynin","CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O","Overactive Bladder","357.49","4.32","1","3","Antimuscarinic","Phenylcyclohexylglycolic Acid","Synthetic","2-5 hours","Liver","<2%"
"Prazosin","COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC","Blood Pressure Medication","383.40","2.14","2","5","Alpha-1 Blocker","Quinazoline","Synthetic","2-3 hours","Liver","97%"
"Quinine","COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O","Antimalarial","324.42","3.44","1","3","Antimalarial","Quinoline","Natural","10-12 hours","Liver","70-95%"
"Ramelteon","CCCN1CCC2=C(C3=CC=CC=C3C=C2)C(C1=O)CC","Sedative","259.34","2.67","1","2","Melatonin Receptor Agonist","Indan","Synthetic","1-2 hours","Liver","82%"
"Secukinumab","Complex Protein Structure","Psoriasis Medication","147900","N/A","Multiple","Multiple","Monoclonal Antibody","Protein","Synthetic","22-31 days","Systemic","N/A"
"Tacrolimus","CC1CC(C2C(C(CC(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)O)C)O)O)OC)OC","Immunosuppressant","804.02","3.30","3","14","Calcineurin Inhibitor","Macrolide","Natural","12 hours","Liver","99%"
"Ulipristal","CC(=O)NC1=CC=C(C=C1)C2(CCC3C2CCC4(C3CC(C4=O)OC(=O)C)C5=CC=CC=C5)C","Emergency Contraceptive","475.62","4.73","2","4","Progesterone Receptor Modulator","Steroidal","Synthetic","32 hours","Liver",">98%"
"Valsartan","CCCCC1=NC(=C(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3C(=O)O)C)C","Blood Pressure Medication","435.52","4.01","2","3","Angiotensin II Receptor Antagonist","Tetrazole","Synthetic","6 hours","Liver","95%"
"Xylometazoline","CC1=C(C(=C(C=C1)C(C)(C)C)CC2=NCCN2)C","Nasal Decongestant","244.38","3.62","1","2","Alpha Agonist","Imidazole","Synthetic","10-12 hours","Liver","<5%"
"Zidovudine","CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-]","Antiviral","267.24","0.80","2","5","NRTI","Pyrimidine Nucleoside","Synthetic","1-3 hours","Liver","34-38%"
"Amantadine","C1C2CC3CC1CC(C2)(C3)N","Antiviral","151.25","2.44","1","1","Antiviral","Adamantane","Synthetic","15 hours","Kidney","67%"
"Brimonidine","C1CN=C(N1)C2=C(C(=C(C=C2)Br)N)C3=CC=CC=C3","Glaucoma Medication","442.13","2.94","2","3","Alpha-2 Agonist","Quinoxaline","Synthetic","3 hours","Liver","29%"
"Canagliflozin","CC1=CC(=C(C=C1)CC2=CC=C(C=C2)CO)S(=O)(=O)C3=CC=CC=C3","Diabetes Medication","444.52","3.91","2","4","SGLT2 Inhibitor","Thiophene","Synthetic","10-13 hours","Liver","99%"
"Dapagliflozin","CCOC1=CC=C(C=C1)CC2=C(C(=C(S2)CO)C3=CC=CC=C3)O","Diabetes Medication","408.87","2.87","2","4","SGLT2 Inhibitor","Glycoside","Synthetic","12.9 hours","Liver","91%"
"Empagliflozin","CCOC1=CC=C(C=C1)CC2=C(C(=C(S2)CO)C3=CC=C(C=C3)Cl)O","Diabetes Medication","450.91","3.02","2","4","SGLT2 Inhibitor","Glycoside","Synthetic","12.4 hours","Liver","86%"
"Fingolimod","CCCCCCCCC1=CC=C(C=C1)CC(CO)(CO)N","Multiple Sclerosis","307.47","4.21","3","2","Immunomodulator","Sphingosine","Synthetic","6-9 days","Liver",">99%"
"Glatiramer","Complex Peptide Structure","Multiple Sclerosis","5000-9000","N/A","Multiple","Multiple","Immunomodulator","Peptide","Synthetic","12 hours","Systemic","N/A"
"Heparin","Complex Polysaccharide Structure","Anticoagulant","12000-15000","N/A","Multiple","Multiple","Anticoagulant","Glycosaminoglycan","Natural","1-2 hours","Liver/Kidney","N/A"
"Ibandronate","CC(C)(CCCN(CP(=O)(O)O)CP(=O)(O)O)O","Osteoporosis Medication","319.23","-1.89","4","7","Bisphosphonate","Bisphosphonate","Synthetic","10-60 hours","Kidney","87%"
"Jevtana","Complex Taxane Structure","Anticancer","835.93","3.45","4","10","Microtubule Inhibitor","Taxane","Synthetic","95 hours","Liver","89-92%"
"Ketorolac","C1CN2C(=O)C(C(C2C3=C1C=CC=C3)C(=O)O)C4=CC=CC=C4","Pain Medication","255.31","2.11","1","2","NSAID","Pyrrolizine","Synthetic","5-6 hours","Liver","99%"
"Liraglutide","CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)CCCCCCCCCCCCCCC","Diabetes Medication","3751.20","N/A","Multiple","Multiple","GLP-1 Receptor Agonist","Peptide","Synthetic","13 hours","Systemic",">98%"
"Mometasone","CC1CC2C3CCC4=CC(=O)C=C(C4(C3(C(CC2(C1(C(=O)CCl)O)O)Cl)O)O","Anti-inflammatory","427.36","3.91","2","5","Corticosteroid","Steroid","Synthetic","5 hours","Liver","98%"
"Nadolol","CC(C)(C)NCC(O)COC1=CC=C2C(C1)CC(O)C(O)C2","Beta Blocker","309.40","0.71","4","5","Cardiovascular","Naphthalene","Synthetic","20-24 hours","Minimal","30%"
"Olopatadine","CN(C)CC=C1C2=CC=CC=C2COC3=C1C=C(C=C3)C(=O)O","Antihistamine","337.41","2.78","1","3","Antihistamine","Dibenzoxepine","Synthetic","8-12 hours","Liver","55%"
"Pegfilgrastim","Complex Protein Structure","Cancer Support","39000","N/A","Multiple","Multiple","G-CSF Analog","Protein","Synthetic","15-80 hours","Systemic","N/A"
